Rank,Tool_Name,Primary_Category,Sub_Category,Pricing_Model,Starting_Price_USD,Monthly_Traffic_Est,User_Rating,Agentic_Capability_Score,API_Available,Release_Year,Active_Users_Est,Starting_Price_CAD
33,RunwayML,Video Generation,AI Video Editing,Freemium,15.0,20000000,4.5,6.5,Yes,2018,3000000,20.55
34,Zendesk AI,Customer Support,Help Desk AI,Paid,55.0,20000000,4.2,7.5,Yes,2023,100000,75.35
35,Pi by Inflection,Conversational AI,Personal Assistant,Free,0.0,20000000,4.4,7.0,No,2023,2000000,0.0
36,Lensa AI,Image Generation,Photo Enhancement,Freemium,7.99,20000000,4.1,3.0,No,2018,10000000,10.95
37,Calendly AI,Productivity,Scheduling,Freemium,12.0,20000000,4.4,5.0,Yes,2013,20000000,16.44
38,Coursera Coach,Education,Course AI,Freemium,59.0,20000000,4.2,6.5,No,2023,1000000,80.83
39,Azure OpenAI,Developer Tools,Cloud AI,Pay-per-use,0.0,20000000,4.4,9.0,Yes,2021,200000,0.0
40,Semrush AI,Marketing,SEO Suite,Freemium,129.95,20000000,4.5,6.5,Yes,2022,10000000,178.03
41,Airtable AI,Productivity,Database AI,Freemium,20.0,20000000,4.3,6.5,Yes,2023,500000,27.4
42,Webex AI,Productivity,Meeting AI,Freemium,22.5,20000000,4.1,6.5,Yes,2023,50000,30.83
43,Suno,Audio & Voice,Music Generation,Freemium,8.0,15000000,4.5,4.5,No,2023,5000000,10.96
44,Intercom Fin,Customer Support,AI Customer Service,Paid,39.0,15000000,4.4,8.0,Yes,2023,25000,53.43
45,Llama 3,Developer Tools,Open LLM,Free,0.0,15000000,4.6,8.5,Yes,2024,5000000,0.0
46,Webflow AI,Web Builder,Website Creation,Freemium,23.0,15000000,4.4,6.0,Yes,2023,500000,31.51
47,Ahrefs AI,Marketing,SEO Suite,Paid,99.0,15000000,4.6,5.5,Yes,2023,500000,135.63
48,Monday AI,Productivity,Project Management,Paid,12.0,15000000,4.4,6.5,Yes,2023,225000,16.44
49,ClickUp AI,Productivity,Project Management,Freemium,7.0,15000000,4.4,7.0,Yes,2023,800000,9.59
50,Asana AI,Productivity,Project Management,Paid,13.49,15000000,4.3,6.5,Yes,2023,139000,18.48
51,Confluence AI,Productivity,Knowledge Base,Paid,5.75,15000000,4.2,6.0,Yes,2023,75000,7.88
52,Jasper,Writing & Content,Marketing Copy,Paid,49.0,10000000,4.3,7.0,Yes,2021,100000,67.13
53,Otter.ai,Productivity,Meeting Transcription,Freemium,17.0,10000000,4.3,6.0,Yes,2016,5000000,23.29
54,Sora,Video Generation,Text to Video,Paid,20.0,10000000,4.6,6.0,Yes,2024,500000,27.4
55,HeyGen,Video Generation,AI Avatars,Freemium,24.0,10000000,4.4,6.0,Yes,2021,1000000,32.88
56,Leonardo AI,Image Generation,Art Generation,Freemium,12.0,10000000,4.5,5.0,Yes,2022,3000000,16.44
57,Make (Integromat),Automation,Workflow Automation,Freemium,9.0,10000000,4.3,7.5,Yes,2012,500000,12.33
58,Mistral AI,Developer Tools,Open LLM,Freemium,0.0,10000000,4.5,9.0,Yes,2023,1000000,0.0
59,Socratic by Google,Education,Homework Help,Free,0.0,10000000,4.4,5.0,No,2018,5000000,0.0
60,Vertex AI,Developer Tools,ML Platform,Pay-per-use,0.0,10000000,4.4,9.0,Yes,2021,100000,0.0
61,AWS Bedrock,Developer Tools,Cloud AI,Pay-per-use,0.0,10000000,4.3,8.5,Yes,2023,50000,0.0
62,Tabnine,Coding Assistant,Code Completion,Freemium,15.0,10000000,4.3,7.0,Yes,2019,1000000,20.55
63,Framer AI,Web Builder,Website Creation,Freemium,20.0,10000000,4.4,6.5,Yes,2023,1000000,27.4
64,Buffer AI,Marketing,Social Media,Freemium,6.0,10000000,4.3,6.0,Yes,2023,1000000,8.22
65,Hootsuite AI,Marketing,Social Media,Paid,99.0,10000000,4.2,6.5,Yes,2023,200000,135.63
66,Fotor AI,Image Generation,Photo Editing,Freemium,8.99,10000000,4.2,4.0,Yes,2022,5000000,12.32
67,Whisper,Developer Tools,Speech Recognition,Free,0.0,10000000,4.6,4.5,Yes,2022,1000000,0.0
68,Copy.ai,Writing & Content,Marketing Copy,Freemium,36.0,8000000,4.2,6.5,Yes,2020,2000000,49.32
69,Pika Labs,Video Generation,Text to Video,Freemium,8.0,8000000,4.2,5.5,No,2023,1500000,10.96
70,Synthesia,Video Generation,AI Avatars,Paid,29.0,8000000,4.4,6.0,Yes,2017,50000,39.73
71,LangChain,Developer Tools,Agent Framework,Free,0.0,8000000,4.4,9.7,Yes,2022,500000,0.0
72,Freshdesk AI,Customer Support,Help Desk AI,Freemium,15.0,8000000,4.1,7.0,Yes,2020,50000,20.55
73,Cohere,Developer Tools,Enterprise LLM,Paid,0.0,8000000,4.3,8.5,Yes,2019,500000,0.0
74,Obsidian AI,Productivity,Note Taking,Freemium,10.0,8000000,4.6,5.0,Yes,2020,1000000,13.7
75,InVideo AI,Video Generation,Marketing Video,Freemium,20.0,8000000,4.3,5.5,Yes,2019,3000000,27.4
76,Writesonic,Writing & Content,Blog & SEO,Freemium,16.0,6000000,4.2,6.5,Yes,2021,1000000,21.92
77,Runway Gen-3,Video Generation,AI Video,Paid,35.0,6000000,4.6,6.5,Yes,2024,500000,47.95
78,Fireflies.ai,Productivity,Meeting Assistant,Freemium,18.0,5000000,4.4,7.5,Yes,2020,500000,24.66
79,Udio,Audio & Voice,Music Generation,Freemium,10.0,5000000,4.3,4.0,No,2024,1000000,13.7
80,Murf AI,Audio & Voice,Text to Speech,Freemium,19.0,5000000,4.4,4.5,Yes,2020,500000,26.03
81,Descript,Audio & Voice,Podcast & Video,Freemium,24.0,5000000,4.4,6.5,Yes,2017,300000,32.88
82,AutoGPT,Agentic AI,Autonomous Agent,Free,0.0,5000000,3.9,9.8,Yes,2023,200000,0.0
83,n8n,Automation,Workflow Automation,Free,20.0,5000000,4.5,8.0,Yes,2019,100000,27.4
84,Drift,Marketing,Conversational Marketing,Paid,40.0,5000000,4.1,7.5,Yes,2015,50000,54.8
85,Weights & Biases,Developer Tools,ML Ops,Freemium,0.0,5000000,4.5,5.0,Yes,2017,300000,0.0
86,Replicate,Developer Tools,Model API,Pay-per-use,0.0,5000000,4.4,7.0,Yes,2022,200000,0.0
87,Cleanup.pictures,Image Generation,Image Editing,Freemium,7.0,5000000,4.3,2.0,Yes,2020,2000000,9.59
88,Topaz Photo AI,Image Generation,Photo Enhancement,Paid,199.0,5000000,4.6,3.0,No,2021,500000,272.63
89,Scribe,Productivity,Documentation,Freemium,29.0,5000000,4.5,5.0,Yes,2020,500000,39.73
90,Tome,Productivity,Presentation AI,Freemium,20.0,5000000,4.2,6.5,Yes,2021,1000000,27.4
91,Beautiful.ai,Productivity,Presentation AI,Freemium,12.0,5000000,4.2,5.0,Yes,2018,500000,16.44
92,Gamma,Productivity,Presentation AI,Freemium,15.0,5000000,4.4,6.0,Yes,2022,2000000,20.55
93,Semantic Scholar,Research & Search,Academic Search,Free,0.0,5000000,4.5,5.0,Yes,2015,2000000,0.0
94,Codeium,Coding Assistant,Code Completion,Freemium,15.0,5000000,4.4,7.5,Yes,2021,500000,20.55
95,Sourcegraph Cody,Coding Assistant,Code Understanding,Freemium,9.0,5000000,4.3,8.0,Yes,2023,200000,12.33
96,Amazon CodeWhisperer,Coding Assistant,Code Completion,Freemium,19.0,5000000,4.2,7.0,Yes,2022,500000,26.03
97,Brandwatch AI,Marketing,Social Listening,Paid,1000.0,5000000,4.2,6.0,Yes,2023,5000,1370.0
98,Deep Nostalgia,Image Generation,Photo Animation,Freemium,12.0,5000000,4.0,3.5,No,2021,2000000,16.44
99,NightCafe,Image Generation,Art Generation,Freemium,10.0,5000000,4.3,4.0,No,2019,3000000,13.7
100,Captions,Video Generation,Auto Captioning,Freemium,13.99,5000000,4.4,5.0,No,2021,2000000,19.17
101,Opus Clip,Video Generation,Short-form Video,Freemium,15.0,5000000,4.4,6.0,Yes,2022,1000000,20.55
102,Krisp,Audio & Voice,Noise Cancellation,Freemium,16.0,5000000,4.5,4.0,Yes,2017,2000000,21.92
103,Rev AI,Audio & Voice,Transcription,Freemium,1.5,5000000,4.3,4.0,Yes,2010,500000,2.06
104,Deep AI,Developer Tools,AI APIs,Freemium,5.0,5000000,4.1,5.0,Yes,2016,500000,6.85
105,Supabase AI,Developer Tools,AI Database,Freemium,25.0,5000000,4.5,7.0,Yes,2023,500000,34.25
106,ManyChat,Marketing,Chatbot Marketing,Freemium,15.0,5000000,4.4,7.0,Yes,2015,1000000,20.55
107,Tidio,Customer Support,Live Chat AI,Freemium,29.0,5000000,4.4,7.5,Yes,2019,500000,39.73
108,Nimbus Bot,Writing & Content,Social Media Writing,Paid,11.29,4912906,4.27,6.57,Yes,2021,254710,15.47
109,Terra Studio,Writing & Content,Social Media Writing,Freemium,14.24,4826626,4.49,6.91,No,2024,198010,19.51
110,Vapor Intelligence,Marketing,Email Marketing AI,Paid,52.82,4547499,4.49,6.49,Yes,2023,149934,72.36
111,Koral Suite,Writing & Content,Social Media Writing,Paid,24.33,4265690,4.34,6.76,Yes,2025,219454,33.33
112,Ember Genius,Education,Homework Helper,Freemium,10.08,4112596,3.99,5.76,No,2025,342932,13.81
113,Pictory,Video Generation,Marketing Video,Freemium,19.0,4000000,4.2,4.5,Yes,2021,300000,26.03
114,Pictory AI,Video Generation,Social Video,Freemium,19.0,4000000,4.2,4.5,Yes,2021,300000,26.03
115,Sigma Mind,Education,AI Tutoring,Freemium,29.94,3830231,4.39,6.37,Yes,2023,69643,41.02
116,Quartz Bot,Writing & Content,Blog Writing,Freemium,47.83,3823939,4.26,6.35,Yes,2021,66295,65.53
117,Rhino Suite,Marketing,Email Marketing AI,Freemium,70.22,3631487,4.13,6.03,Yes,2022,176419,96.2
118,Warp Flow,Education,Homework Helper,Paid,19.5,3547937,4.31,6.63,No,2023,343680,26.72
119,Koral Vision,Education,Homework Helper,Paid,17.17,3547535,4.26,5.23,No,2022,51151,23.52
120,Iris Pilot,Writing & Content,Blog Writing,Freemium,32.59,3265270,4.34,5.82,Yes,2023,428043,44.65
121,Rhino Mind,Marketing,Email Marketing AI,Paid,93.77,3123242,4.09,6.32,Yes,2023,311493,128.46
122,Lumen5,Video Generation,Marketing Video,Freemium,29.0,3000000,4.1,4.5,Yes,2017,800000,39.73
123,AgentGPT,Agentic AI,Autonomous Agent,Freemium,40.0,3000000,3.8,9.5,Yes,2023,100000,54.8
124,Upscayl,Image Generation,Image Upscaling,Free,0.0,3000000,4.3,2.0,Yes,2022,500000,0.0
125,Taskade,Productivity,Project Management,Freemium,19.0,3000000,4.3,7.5,Yes,2019,200000,26.03
126,Motion,Productivity,Calendar AI,Paid,34.0,3000000,4.3,7.0,Yes,2019,50000,46.58
127,Consensus,Research & Search,Academic Search,Freemium,9.99,3000000,4.3,6.5,Yes,2021,200000,13.69
128,ChatPDF,Research & Search,Document Analysis,Freemium,5.0,3000000,4.1,5.5,No,2023,500000,6.85
129,10Web,Web Builder,WordPress AI,Paid,20.0,3000000,4.0,5.5,Yes,2019,200000,27.4
130,Surfer SEO,Marketing,SEO Optimization,Paid,89.0,3000000,4.4,6.5,Yes,2017,100000,121.93
131,Fliki,Video Generation,Text to Video,Freemium,28.0,3000000,4.3,5.0,Yes,2021,300000,38.36
132,Artbreeder,Image Generation,Art Generation,Freemium,8.99,3000000,4.2,4.0,No,2018,1000000,12.32
133,Adobe Podcast,Audio & Voice,Podcast Enhancement,Free,0.0,3000000,4.5,4.5,No,2022,1000000,0.0
134,Pinecone,Developer Tools,Vector Database,Freemium,70.0,3000000,4.4,7.0,Yes,2021,20000,95.9
135,Linear AI,Productivity,Issue Tracking,Paid,8.0,3000000,4.6,6.0,Yes,2023,100000,10.96
136,Nodus Mind,Education,Homework Helper,Paid,13.07,2970589,3.96,6.46,No,2025,255311,17.91
137,Glyph Mind,Marketing,Ad Copy AI,Freemium,58.52,2946743,4.49,5.63,No,2024,173407,80.17
138,Onyx Hub,Coding Assistant,Test Generation,Freemium,34.94,2941406,4.09,8.28,Yes,2022,133454,47.87
139,Cipher Spark,Education,AI Tutoring,Paid,14.29,2895592,4.35,8.0,Yes,2022,497126,19.58
140,Echo Studio,Marketing,Ad Copy AI,Freemium,32.44,2891401,4.02,5.16,Yes,2024,284626,44.44
141,Koral Forge,Writing & Content,Email Writing,Paid,13.33,2869757,4.02,6.97,Yes,2024,247311,18.26
142,Ember Suite,Writing & Content,Blog Writing,Freemium,24.06,2851328,4.41,5.79,No,2024,154752,32.96
143,Zenith Studio,Image Generation,Illustration,Paid,23.96,2832158,4.13,4.18,Yes,2025,40876,32.83
144,Unity Vision,Writing & Content,Social Media Writing,Freemium,26.42,2817331,4.39,6.71,Yes,2025,190075,36.2
145,Rhino Forge,Coding Assistant,Test Generation,Paid,34.36,2799728,4.0,8.72,No,2023,161414,47.07
146,Unity GPT,Image Generation,Logo Design,Paid,13.02,2798641,4.05,3.72,No,2025,997703,17.84
147,Nova AI,Image Generation,Product Photo,Freemium,47.21,2708171,4.37,4.3,No,2022,83105,64.68
148,Warp Pilot,Marketing,Email Marketing AI,Paid,32.92,2669796,4.37,7.38,Yes,2023,76031,45.1
149,Karma Studio,Audio & Voice,Voice Cloning,Paid,11.53,2656430,4.12,5.11,No,2025,266115,15.8
150,Atlas Suite,Education,AI Tutoring,Freemium,22.64,2529524,4.36,6.58,No,2023,176124,31.02
151,Helix Pro,Writing & Content,Blog Writing,Paid,35.91,2507738,4.25,5.23,Yes,2024,87230,49.2
152,Quartz Intelligence,Marketing,Email Marketing AI,Freemium,32.8,2391381,4.17,7.88,Yes,2020,181389,44.94
153,Koral Pilot,Education,Homework Helper,Freemium,14.52,2358494,4.37,5.09,No,2025,208141,19.89
154,Neon Engine,Education,Homework Helper,Paid,17.57,2332169,4.28,6.36,No,2021,325516,24.07
155,Arcane Engine,Video Generation,Background Removal,Freemium,16.19,2267194,4.45,3.39,Yes,2025,260999,22.18
156,Koral Flow,Coding Assistant,Debugging AI,Freemium,22.95,2234185,4.16,6.82,No,2021,298563,31.44
157,Echo Genius,Image Generation,Illustration,Freemium,10.81,2233552,4.03,5.85,Yes,2024,290113,14.81
158,Synth Genius,Marketing,Email Marketing AI,Freemium,98.12,2221389,4.03,7.53,Yes,2021,476273,134.42
159,Ultra GPT,Marketing,Email Marketing AI,Paid,39.19,2205712,4.17,6.16,Yes,2022,98477,53.69
160,Raven Pro,Image Generation,3D Rendering,Freemium,16.32,2172807,4.44,5.9,Yes,2023,59393,22.36
161,Orbit Engine,Writing & Content,Social Media Writing,Freemium,16.95,2153178,4.23,5.52,Yes,2025,385076,23.22
162,Unity Suite,Marketing,Ad Copy AI,Freemium,90.12,2148378,4.02,5.52,Yes,2025,147432,123.46
163,Xenon Plus,Writing & Content,Email Writing,Paid,24.19,2051935,4.14,5.81,Yes,2022,260061,33.14
164,Tavus,Video Generation,Personalized Video,Paid,0.0,2000000,4.2,6.0,Yes,2020,50000,0.0
165,DeepDream,Image Generation,Art Generation,Free,0.0,2000000,3.8,2.0,No,2015,1000000,0.0
166,Mem AI,Productivity,Note Taking,Paid,14.99,2000000,4.1,7.0,Yes,2020,100000,20.54
167,Reclaim AI,Productivity,Calendar AI,Freemium,10.0,2000000,4.4,7.0,Yes,2020,200000,13.7
168,Khanmigo,Education,AI Tutor,Freemium,4.0,2000000,4.5,7.5,No,2023,500000,5.48
169,Elicit,Research & Search,Academic Search,Freemium,12.0,2000000,4.3,7.0,Yes,2021,100000,16.44
170,Scite,Research & Search,Citation Analysis,Freemium,20.0,2000000,4.3,5.5,Yes,2018,200000,27.4
171,Humata,Research & Search,Document Analysis,Freemium,9.99,2000000,4.2,6.5,Yes,2023,100000,13.69
172,Dify,Developer Tools,LLM App Builder,Free,0.0,2000000,4.5,9.0,Yes,2023,50000,0.0
173,Durable,Web Builder,Website Creation,Paid,15.0,2000000,4.0,5.5,No,2022,200000,20.55
174,Loomly AI,Marketing,Social Media,Freemium,32.0,2000000,4.2,5.5,Yes,2023,100000,43.84
175,Kaiber,Video Generation,AI Animation,Freemium,15.0,2000000,4.2,5.0,No,2022,300000,20.55
176,Podcastle,Audio & Voice,Podcast Production,Freemium,23.99,2000000,4.3,5.5,Yes,2021,300000,32.87
177,NVIDIA RTX Voice,Audio & Voice,Noise Cancellation,Free,0.0,2000000,4.4,3.5,No,2020,1000000,0.0
178,AssemblyAI,Developer Tools,Speech API,Pay-per-use,0.0,2000000,4.5,6.0,Yes,2017,5000,0.0
179,Scale AI,Developer Tools,Data Labeling,Paid,0.0,2000000,4.3,5.0,Yes,2016,10000,0.0
180,Roboflow,Developer Tools,Computer Vision,Freemium,0.0,2000000,4.5,6.5,Yes,2020,50000,0.0
181,Clarifai,Developer Tools,Computer Vision,Freemium,30.0,2000000,4.2,7.0,Yes,2013,20000,41.1
182,Groq,Developer Tools,Fast Inference,Freemium,0.0,2000000,4.6,7.5,Yes,2016,100000,0.0
183,Landbot,Developer Tools,Chatbot Builder,Freemium,45.0,2000000,4.3,7.5,Yes,2018,200000,61.65
184,Gorgias AI,Customer Support,Ecommerce Support,Paid,10.0,2000000,4.3,7.5,Yes,2019,12000,13.7
185,Karma Pro,Video Generation,AI Thumbnail,Freemium,12.68,1998276,3.92,4.61,No,2025,78855,17.37
186,Jinx Spark,Image Generation,3D Rendering,Freemium,41.71,1969606,4.28,5.3,Yes,2023,356881,57.14
187,Orbit Spark,Audio & Voice,Voice Cloning,Freemium,15.63,1947927,4.13,5.65,No,2023,86500,21.41
188,Koral Pro,E-commerce AI,Product Description,Paid,76.84,1913145,4.08,6.21,Yes,2021,188081,105.27
189,Terra Suite,Education,Homework Helper,Freemium,14.31,1884096,4.2,5.87,Yes,2023,157767,19.6
190,Maven GPT,Video Generation,AI Thumbnail,Paid,20.75,1882806,4.32,3.65,Yes,2023,49077,28.43
191,Apex Genius,Marketing,Email Marketing AI,Freemium,73.49,1878702,4.46,7.48,Yes,2024,133957,100.68
192,Maven Intelligence,Customer Support,FAQ Bot,Freemium,84.7,1868613,4.32,7.35,No,2022,83444,116.04
193,Hydra Suite,Writing & Content,Scriptwriting,Paid,16.54,1867184,4.11,5.28,Yes,2022,162117,22.66
194,Vortex Forge,Education,Quiz Generator,Freemium,15.26,1850500,4.04,5.0,Yes,2025,63604,20.91
195,Lumina Lab,Education,AI Tutoring,Paid,10.33,1825261,4.22,6.0,Yes,2022,411020,14.15
196,Iota Bot,Writing & Content,Blog Writing,Paid,44.98,1821249,4.36,6.85,Yes,2022,316734,61.62
197,Optic Engine,Image Generation,3D Rendering,Freemium,15.41,1816402,4.3,4.94,Yes,2023,89250,21.11
198,Vivid Suite,Research & Search,Academic Summary,Paid,15.65,1799859,4.27,5.91,Yes,2022,82601,21.44
199,Sigma Vision,Coding Assistant,Debugging AI,Freemium,21.94,1793965,4.1,7.66,Yes,2022,428107,30.06
200,Karma Vision,Writing & Content,Scriptwriting,Paid,28.89,1793815,3.93,5.53,No,2023,134849,39.58
201,Zenith Hub,Agentic AI,AI Agent Frameworks,Freemium,10.93,1783230,4.21,9.35,No,2025,98930,14.97
202,Haven Lab,Education,Homework Helper,Paid,12.84,1761422,4.07,6.17,Yes,2023,212650,17.59
203,Ember AI,Coding Assistant,Test Generation,Freemium,20.66,1744307,4.16,7.21,Yes,2024,117566,28.3
204,Cosmo Bot,Audio & Voice,Sound Effects,Paid,23.97,1730833,4.38,3.48,Yes,2025,50405,32.84
205,Delta Genius,Research & Search,Academic Summary,Freemium,17.66,1723899,4.12,5.69,Yes,2024,58968,24.19
206,Unity Intelligence,Marketing,Ad Copy AI,Paid,52.29,1719214,4.34,5.1,Yes,2023,64556,71.64
207,Prism Studio,Customer Support,FAQ Bot,Paid,48.78,1709080,4.1,6.89,Yes,2025,137683,66.83
208,Nova Intelligence,Audio & Voice,Voice Cloning,Freemium,37.85,1705268,4.17,5.98,Yes,2024,100359,51.85
209,Rhino Pro,Education,Homework Helper,Freemium,14.98,1700558,4.02,6.28,No,2021,471859,20.52
210,Pylon Pro,Education,AI Tutoring,Freemium,22.83,1698338,4.03,7.13,Yes,2022,280738,31.28
211,Drift Genius,Marketing,AI Analytics,Paid,74.13,1691271,4.48,7.3,No,2024,41496,101.56
212,Prism Sage,Audio & Voice,Dubbing & Translation,Paid,28.61,1677937,4.11,4.56,Yes,2022,171348,39.2
213,Gaia Intelligence,Marketing,Ad Copy AI,Freemium,73.1,1613596,4.06,5.61,No,2022,297819,100.15
214,Glyph Genius,Education,Homework Helper,Paid,19.75,1596945,4.28,6.03,Yes,2022,294565,27.06
215,Gaia GPT,E-commerce AI,Product Description,Freemium,50.9,1588790,4.19,5.75,Yes,2024,159756,69.73
216,Rhino Pilot,Coding Assistant,Documentation AI,Freemium,15.6,1588607,4.2,5.2,Yes,2023,61288,21.37
217,Cosmo Mind,Coding Assistant,Test Generation,Freemium,24.91,1581398,4.36,8.51,Yes,2022,79903,34.13
218,Warp Suite,Developer Tools,Prompt Engineering,Freemium,47.92,1549131,4.37,8.57,Yes,2025,127022,65.65
219,Helix Forge,Image Generation,Product Photo,Freemium,24.65,1540641,4.44,4.2,Yes,2022,206561,33.77
220,Ember GPT,Agentic AI,AI Agent Frameworks,Free,0.0,1515875,4.29,9.31,Yes,2025,57823,0.0
221,Ember Plus,Customer Support,FAQ Bot,Freemium,98.78,1515388,4.06,7.19,Yes,2025,37566,135.33
222,Drift Engine,Writing & Content,Scriptwriting,Paid,15.71,1491168,4.34,5.48,No,2025,79158,21.52
223,Prism Mind,Writing & Content,Scriptwriting,Paid,33.04,1482111,3.92,6.37,Yes,2022,146636,45.26
224,Maven Sage,Developer Tools,Prompt Engineering,Paid,43.58,1479811,4.35,7.33,No,2023,74248,59.7
225,Lyric Vision,Developer Tools,Prompt Engineering,Paid,27.69,1469672,4.27,8.59,No,2023,132740,37.94
226,Onyx Vision,Education,Quiz Generator,Freemium,14.51,1465025,4.38,5.4,Yes,2025,103660,19.88
227,Drift Bot,Research & Search,Academic Summary,Paid,10.58,1463436,4.5,5.36,Yes,2021,40989,14.49
228,Cosmo Pro,Agentic AI,AI Agent Frameworks,Free,0.0,1447891,4.33,9.08,Yes,2025,53054,0.0
229,Nova Flow,Audio & Voice,Sound Effects,Paid,11.56,1445036,4.09,4.36,No,2024,51612,15.84
230,Pulse Core,Writing & Content,Social Media Writing,Paid,15.18,1444949,4.17,6.46,Yes,2022,57384,20.8
231,Vapor Genius,Writing & Content,Academic Writing,Freemium,28.27,1431103,4.07,6.64,Yes,2020,98453,38.73
232,Nova Spark,Writing & Content,Email Writing,Paid,14.71,1419855,4.48,5.6,Yes,2021,118564,20.15
233,Synth Intelligence,E-commerce AI,Product Description,Paid,37.51,1411982,4.2,5.31,Yes,2021,111780,51.39
234,Lyric GPT,Education,AI Tutoring,Paid,16.33,1393813,4.05,7.89,Yes,2023,103598,22.37
235,Storm GPT,Marketing,AI Analytics,Freemium,167.77,1377722,4.3,6.99,Yes,2023,68176,229.84
236,Zenith Core,Customer Support,FAQ Bot,Paid,56.55,1362485,4.38,7.48,No,2024,190875,77.47
237,Yield Engine,Developer Tools,Prompt Engineering,Freemium,36.59,1353641,4.11,8.45,Yes,2023,134938,50.13
238,Gaia Plus,Audio & Voice,Dubbing & Translation,Paid,20.61,1349530,4.25,4.42,Yes,2024,81474,28.24
239,Neon Sage,Image Generation,Logo Design,Freemium,26.82,1330653,4.42,4.23,Yes,2022,84305,36.74
240,Arcane Mind,Image Generation,Product Photo,Freemium,27.44,1311468,4.21,5.63,Yes,2022,145034,37.59
241,Sigma Studio,Coding Assistant,Documentation AI,Paid,24.0,1280837,4.2,6.63,Yes,2022,189581,32.88
242,Nimbus Suite,Coding Assistant,Test Generation,Freemium,17.26,1275693,4.3,7.04,Yes,2024,135625,23.65
